Road ID,No of Vehicles,time in Sec
1,1,1.0
1,2,2.0
1,3,3.0
1,4,4.0
1,5,5.0
1,6,6.0
1,7,7.0
1,8,8.0
1,9,9.0
1,10,10.0
1,11,11.0
1,12,12.0
1,13,13.0
1,15,15.0
1,16,16.0
1,17,17.0
1,18,18.0
1,19,19.0
1,20,20.0
1,21,21.0
1,22,22.0
1,23,23.0
1,24,24.0
1,26,26.0
1,27,27.0
1,29,29.0
1,30,80.0
1,31,31.0
1,32,32.0
1,33,33.0
1,34,34.0
1,35,35.0
1,36,36.0
1,37,37.0
1,38,38.0
1,39,39.0
1,40,40.0
1,41,41.0
1,42,42.0
1,43,43.0
1,44,44.0
1,45,45.0
1,46,46.0
1,47,47.0
1,48,48.0
1,49,49.0
1,50,50.0
1,51,51.0
1,52,52.0
1,53,53.0
1,54,54.0
1,55,55.0
1,56,56.0
1,57,57.0
1,58,58.0
1,59,59.0
1,60,60.0
2,1,1.0
2,2,2.0
2,3,3.0
2,4,4.0
2,5,5.0
2,6,6.0
2,7,7.0
2,8,8.0
2,9,9.0
2,11,11.0
2,13,13.0
2,15,15.0
2,16,16.0
2,17,17.0
2,18,18.0
2,19,19.0
2,20,20.0
2,21,21.0
2,22,22.0
2,23,23.0
2,24,24.0
2,25,25.0
2,26,26.0
2,27,27.0
2,28,28.0
2,29,29.0
2,30,80.0
2,31,31.0
2,32,32.0
2,33,33.0
2,34,34.0
2,35,35.0
2,36,36.0
2,37,37.0
2,38,38.0
2,39,39.0
2,40,40.0
2,41,41.0
2,42,42.0
2,43,43.0
2,44,44.0
2,45,45.0
2,46,46.0
2,47,47.0
2,48,48.0
2,49,49.0
2,50,50.0
2,51,51.0
2,52,52.0
2,53,53.0
2,54,54.0
2,55,55.0
2,56,56.0
2,57,57.0
2,58,58.0
2,59,59.0
2,60,60.0
3,1,1.0
3,2,2.0
3,3,3.0
3,4,4.0
3,5,5.0
3,6,6.0
3,7,7.0
3,8,8.0
3,9,9.0
3,10,10.0
3,11,11.0
3,12,12.0
3,13,13.0
3,16,16.0
3,17,17.0
3,19,19.0
3,20,20.0
3,21,21.0
3,22,22.0
3,23,23.0
3,24,24.0
3,25,25.0
3,26,26.0
3,27,27.0
3,28,28.0
3,29,29.0
3,30,80.0
3,31,31.0
3,32,32.0
3,33,33.0
3,34,34.0
3,35,35.0
3,36,36.0
3,37,37.0
3,38,38.0
3,39,39.0
3,40,40.0
3,41,41.0
3,42,42.0
3,43,43.0
3,44,44.0
3,45,45.0
3,46,46.0
3,47,47.0
3,48,48.0
3,49,49.0
3,50,50.0
3,51,51.0
3,52,52.0
3,53,53.0
3,54,54.0
3,55,55.0
3,56,56.0
3,57,57.0
3,58,58.0
3,59,59.0
3,60,60.0
4,1,1.0
4,2,2.0
4,3,3.0
4,4,4.0
4,5,5.0
4,6,6.0
4,7,7.0
4,8,8.0
4,9,9.0
4,10,10.0
4,11,11.0
4,12,12.0
4,13,13.0
4,15,15.0
4,16,16.0
4,17,17.0
4,18,18.0
4,19,19.0
4,21,21.0
4,23,23.0
4,24,24.0
4,25,25.0
4,26,26.0
4,27,27.0
4,28,28.0
4,29,29.0
4,30,80.0
4,31,31.0
4,32,32.0
4,33,33.0
4,34,34.0
4,35,35.0
4,36,36.0
4,37,37.0
4,38,38.0
4,39,39.0
4,40,40.0
4,41,41.0
4,42,42.0
4,43,43.0
4,44,44.0
4,45,45.0
4,46,46.0
4,47,47.0
4,48,48.0
4,49,49.0
4,50,50.0
4,51,51.0
4,52,52.0
4,53,53.0
4,54,54.0
4,55,55.0
4,56,56.0
4,57,57.0
4,58,58.0
4,59,59.0
4,60,60.0
1,25,80.0
2,10,10.0
3,15,45.0
4,20,80.0
1,28,80.0
2,12,28.8
3,18,54.0
4,22,80.0
